Day,Canada,France,Germany,India,United Kingdom,United States
2020/2/1,0,0,0.007135537,0,0.001466722,0
2020/2/2,0,0,0.010703305,0,0.001466722,0
2020/2/3,0,0,0.010703305,0,0.001466722,0
2020/2/4,0,0,0.010703305,0,0.002933443,0
2020/2/5,0,0,0.010703305,0,0.002933443,0
2020/2/6,0,0,0.010703305,0,0.002933443,0
2020/2/7,0,0,0.010703305,0,0.002933443,0
2020/2/8,0,0,0.010703305,0,0.002933443,0
2020/2/9,0,0,0.010703305,0,0.002933443,0
2020/2/10,0,0,0.010703305,0,0.002933443,0
2020/2/11,0,0,0.010703305,0,0.002933443,0
2020/2/12,0,0,0.010703305,0,0.002933443,0
2020/2/13,0,0,0.010703305,0,0.002933443,0
2020/2/14,0,0,0.010703305,0,0.002933443,0
2020/2/15,0,0,0.010703305,0,0.002933443,0
2020/2/16,0,0,0.010703305,0,0.002933443,0
2020/2/17,0,0,0.010703305,0,0.002933443,0
2020/2/18,0,0,0.010703305,0,0.002933443,0
2020/2/19,0,0,0.010703305,0,0.002933443,0
2020/2/20,0,0,0.010703305,0,0.002933443,0
2020/2/21,0,0,0.010703305,0,0.002933443,0
2020/2/22,0,0,0.010703305,0,0.002933443,0
2020/2/23,0,0,0.011892561,0,0.002933443,0
2020/2/24,0,0,0.011892561,0,0.004400165,0
2020/2/25,0,0,0.011892561,0,0.004400165,0
2020/2/26,0,0,0.011892561,0,0.004400165,0
2020/2/27,0,0,0.011892561,0,0.004400165,0
2020/2/28,0,0,0.011892561,0,0.004400165,0
2020/2/29,0,0,0.011892561,0,0.004400165,0.000292797
2020/3/1,0,0,0.013081817,0,0.004400165,0.000292797
2020/3/2,0,0,0.013081817,0,0.004400165,0.000585593
2020/3/3,0,0,0.013081817,0,0.004400165,0.000585593
2020/3/4,0,0,0.013081817,0,0.005866886,0.002342373
2020/3/5,0,0,0.013081817,0,0.005866886,0.003220763
2020/3/6,0,0,0.013081817,0,0.007333608,0.003806356
2020/3/7,0,0,0.013081817,0,0.010267051,0.004684746
2020/3/8,0,0,0.02735289,0,0.013200494,0.005563136
2020/3/9,0,0,0.02735289,0,0.013200494,0.007027119
2020/3/10,0.002575912,0,0.02735289,0,0.016133936,0.008198305
2020/3/11,0.002575912,0,0.02735289,0,0.023467544,0.009369492
2020/3/12,0.002575912,0,0.02735289,0,0.02786771,0.011419068
2020/3/13,0.002575912,0,0.02735289,7.01546E-05,0.03813476,0.014932628
2020/3/14,0.002575912,0,0.02735289,0.000140309,0.05720214,0.016982203
2020/3/15,0.002575912,0.06689758,0.1272504,0.000140309,0.080669686,0.020202966
2020/3/16,0.002575912,0.06689758,0.1272504,0.000140309,0.11147084,0.024009323
2020/3/17,0.002575912,0.06689758,0.1272504,0.000210464,0.15547249,0.029279662
2020/3/18,0.010303646,0.06689758,0.1272504,0.000210464,0.22880857,0.03542839
2020/3/19,0.018031381,0.06689758,0.1272504,0.000280618,0.31387842,0.043626696
2020/3/20,0.020607293,0.06689758,0.1272504,0.000280618,0.42094907,0.06236568
2020/3/21,0.025759116,0.06689758,0.1272504,0.000280618,0.5368201,0.082568645
2020/3/22,0.028335027,1.1092552,0.69690406,0.000491082,0.7098932,0.10950594
2020/3/23,0.038638674,1.1092552,0.69690406,0.000631392,0.9196344,0.14229916
2020/3/24,0.038638674,1.1092552,0.69690406,0.000631392,1.1880444,0.17684916
2020/3/25,0.04636641,1.1092552,0.69690406,0.000701546,1.4901891,0.2248678
2020/3/26,0.04894232,1.1092552,0.69690406,0.00091201,1.8759369,0.2860623
2020/3/27,0.056670055,1.1092552,0.69690406,0.001192628,2.370222,0.3741941
2020/3/28,0.061821878,1.1092552,0.69690406,0.001332938,2.971578,0.47403774
2020/3/29,0.090156905,4.2192144,2.4320288,0.001753865,3.6506698,0.61662966
2020/3/30,0.105612375,4.2192144,2.4320288,0.002034484,4.4074984,0.7794246
2020/3/31,0.10818829,4.2192144,2.4320288,0.002244948,5.2655306,0.9741344
2020/4/1,0.14425105,4.2192144,2.4320288,0.002665875,6.306903,1.158889
2020/4/2,0.16228242,4.2192144,2.4320288,0.00350773,7.5198812,1.4464153
2020/4/3,0.18546563,4.2192144,2.4320288,0.003928658,8.872199,1.7746403
2020/4/4,0.35547578,4.2192144,2.4320288,0.004770513,10.34772,2.1584966
2020/4/5,0.48169544,9.315877,5.135208,0.005401905,11.896579,2.561385
2020/4/6,0.59503555,9.315877,5.135208,0.007646852,13.577441,3.0122917
2020/4/7,0.72125524,9.315877,5.135208,0.007997626,15.365375,3.5606997
2020/4/8,0.83201945,9.315877,5.135208,0.010453036,17.078506,4.0558186
2020/4/9,0.9762705,9.315877,5.135208,0.011856128,18.97351,4.668642
2020/4/10,1.1179456,9.315877,5.135208,0.013960767,21.113457,5.3189435
2020/4/11,1.3085631,9.315877,5.135208,0.01676695,23.124332,5.97188
2020/4/12,1.4631177,14.51833,7.368631,0.019152207,25.058937,6.628037
2020/4/13,1.6794943,14.51833,7.368631,0.021607619,27.056612,7.2698474
2020/4/14,1.8443526,14.51833,7.368631,0.023782412,29.074821,7.8135705
2020/4/15,2.0066352,14.51833,7.368631,0.026448287,30.87889,8.371348
2020/4/16,2.3234723,14.51833,7.368631,0.029044006,32.715225,9.083429
2020/4/17,2.5990946,14.51833,7.368631,0.030657563,34.585293,9.883058
2020/4/18,3.0679107,14.51833,7.368631,0.03367421,36.521366,10.598945
2020/4/19,3.3641405,18.765549,8.826659,0.035568386,38.379704,11.282918
2020/4/20,3.7711344,18.765549,8.826659,0.03809395,40.12217,11.824006
2020/4/21,4.0622125,18.765549,8.826659,0.041391216,41.76783,12.40755
2020/4/22,4.345563,18.765549,8.826659,0.04489895,43.46776,13.015688
2020/4/23,4.716494,18.765549,8.826659,0.047775287,45.054752,13.798333
2020/4/24,5.0771217,18.765549,8.826659,0.050371006,46.669613,14.448635
2020/4/25,5.5201783,18.765549,8.826659,0.05436982,48.1906,15.029543
2020/4/26,5.9220204,22.026417,9.691248,0.057807397,49.663193,15.645294
2020/4/27,6.3393183,22.026417,9.691248,0.061174817,51.009644,16.199266
