Day,Canada,France,Germany,India,United Kingdom,United States
2020/12/15,18.572323,,,,,77.20022
2020/12/16,38.922024,,,,,207.77238
2020/12/17,62.48303,,,,,357.30118
2020/12/18,72.71798,,,,,532.4038
2020/12/19,63.7229,,,,,533.56476
2020/12/20,56.803143,,,,,502.1805
2020/12/21,77.57174,,,,,662.06964
2020/12/22,96.232376,,,,,830.7987
2020/12/23,119.75413,,,,,1005.7045
2020/12/24,141.64201,,,,,973.35596
2020/12/25,138.10197,,,,,802.6116
2020/12/26,134.19395,,,,,785.5963
2020/12/27,144.3136,,,,,781.2755
2020/12/28,139.81313,10.727644,214.93427,,,869.2935
2020/12/29,166.38548,8.306004,406.14285,,,985.51874
2020/12/30,165.85559,7.8307276,525.3143,,,1098.7106
2020/12/31,185.45459,7.578002,542.5981,,,1194.4141
2021/1/1,208.40964,9.686565,495.26096,,,1246.7072
2021/1/2,225.49162,9.0126295,507.5309,,,1299.1663
2021/1/3,231.41254,8.628242,473.44626,,,1317.7922
2021/1/4,293.97406,11.745014,521.5075,,,1346.3094
2021/1/5,311.88034,27.716854,525.40314,,,1393.0076
2021/1/6,383.8697,53.707195,523.5598,,,1469.0033
2021/1/7,463.49847,116.33147,531.9458,,,1783.1373
2021/1/8,583.46606,193.93822,595.1174,,,2246.1235
2021/1/9,699.6581,217.33772,616.8111,,,2348.0498
2021/1/10,767.0402,229.42114,639.3118,,,2394.7673
2021/1/11,821.3478,310.97882,677.4377,,2432.4697,2567.701
2021/1/12,870.4925,428.22852,723.04224,,2856.9536,2745.531
2021/1/13,878.58453,541.81824,806.8848,,3316.052,2872.7932
2021/1/14,898.8643,657.9234,856.5923,,3667.5703,2934.7114
2021/1/15,926.85345,726.764,905.92267,,3947.634,2944.6865
2021/1/16,933.1055,746.2966,901.711,134.12228,4020.0027,3002.892
2021/1/17,951.74414,757.1212,922.09143,78.67874,3848.7422,3023.5652
2021/1/18,962.4673,856.50446,946.7668,106.178764,3938.4155,2945.2043
2021/1/19,992.56494,1004.43256,1015.6944,118.35696,4196.5503,2981.9624
2021/1/20,1040.6315,1160.8358,1050.5854,113.157135,4360.4688,3099.2415
2021/1/21,1042.1918,1323.0718,1087.0973,122.01453,4550.4385,3233.8818
2021/1/22,1000.2154,1435.5989,1104.9651,139.36633,4832.351,3392.1099
2021/1/23,961.8306,1475.0177,1154.224,139.40923,5239.391,3501.5293
2021/1/24,910.6068,1472.5088,1154.2495,139.42757,5299.571,3543.925
2021/1/25,845.002,1458.7397,1167.4622,157.32271,5452.705,3750.1516
2021/1/26,809.1932,1401.1636,1131.4735,135.76369,5381.1455,3882.773
